fyear,at,bkvlps,invt,Lt,rectr,cogs,dvt,ebit,gp,ni,oiadp,revt,dvpsx_f,mkvalt,prch_f,Bankrupt
2002,1846.6,-41.6321,176.6,2904.6,276.6,1665.2,0,80.9,336.4,-634.5,80.9,2001.6,0,2.5807,0.44,yes
2002,24720,7.239,164,23563,292,13061,27,-904,244,-1272,-904,13305,0.1,1492.6439,38.69,yes
2002,3805.666,16.0853,53.27,3478.218,292.31,1875.163,12.963,109.21,257.224,-24.986,109.21,2132.387,0,82.2626,18.5,yes
2002,1771.874,15.9514,12.967,1242.398,313.702,744.659,0,127.272,291.252,3.528,127.272,1035.911,0,235.3384,24.1,yes
2002,5590.3,30.8399,257.2,3762.7,330.6,2253.3,45.5,-152.9,327.8,-142.4,-152.9,2581.1,0.8,2387.9199,55.8,yes
2002,7448,7.3498,344,6104,340,2732,109,174,530,-148,174,3262,0.9,2027.6203,17.59,yes
2002,895.131,3.8174,0,293.261,375.675,1693.541,0,157.604,674.086,-26.898,157.604,2367.627,0,2342.9168,21.49,yes
2002,2635,-602.9082,0,11126,482,3413,19,-434,-297,654,-434,3116,0,15.5228,0.88,yes
2002,2367.191,-25.3942,399.973,3040.733,665.01,1753.495,0,80.065,607.606,-140.885,80.065,2361.101,0,8.4887,1.06,yes
2002,23226.992,10.1149,106.536,19189.875,747.004,5981.494,0,701.884,1476.405,118.618,701.884,7457.899,0,1241.4602,17.28,yes
2002,3799.117,11.1527,1409.736,1457.542,775.339,7445.736,14.687,60.233,2570.21,106.084,60.233,10015.946,0.07,928.0011,24.59,yes
2002,14078.328,19.086,47.462,7938.228,814.511,2576.282,158.168,1275.785,2808.146,442.992,1275.785,5384.428,0.44,13906.6231,49.49,yes
2002,1672.045,15.6327,0,1438.99,1432.955,53.718,0,108.966,140.255,-4.088,108.966,193.973,0,283.517,21,yes
2002,3759.008,-7.9543,393.125,4729.757,2561.692,-188.341,0,437.109,483.861,121.472,437.109,295.52,0,19.5266,0.94,yes
2002,19316,2.2917,1769,18037,4016,23977,156,952,3450,343,952,27427,0.28,4492.697,17.4,yes
2003,5.386,-0.346,0,8.843,0,0,0,-0.596,0.091,2.742,-0.596,0.091,0,2.9976,0.47,yes
2003,0.001,-0.1581,0,0.376,0,0,0,-0.821,0,-0.815,-0.821,0,0,0.3605,1.75,no
2003,0.009,-0.0521,0,0.614,0,0,0,-0.182,0,0.514,-0.182,0,0,2.9043,0.27,no
2003,0,-0.0175,0,0.309,0,0,0,-0.376,0,-0.468,-0.376,0,0,26.4795,5,no
2003,0,-0.0011,0,0.095,0,0,0,-0.01,0,0.102,-0.01,0,0,0.1692,0.005,yes
2003,4.18,0.0019,0,4.094,0,0.65,0,0.595,0.595,0.514,0.595,1.245,0,2.4268,0.09,no
2003,0.127,0.0034,0,0.059,0,0,0,-2.409,0,-2.409,-2.409,0,0,74.1955,4.15,no
2003,4.064,0.005,0,4.019,0,0,17.418,17.367,18.169,17.398,17.367,18.169,1.88,217.9164,24.62,no
2003,28.51,1.291,0,6.99,0,0.223,0,-6.871,0.488,-10.704,-6.871,0.711,0,22.5986,1.65,no
